adjudicated	Text	Final_Label
86	and strife, in peace and in war, we have come so far. But we still have far to go. We will press forward with speed and urgency, for we have much to do in this winter of peril and possibility. Much to repair. Much to restore. Much to heal. Much to build. And much to gain. Few periods in our nation’s history have been more challenging or difficult than the one we’re in now. A once-in-a-century virus silently stalks the country. It’s taken as many lives in one year as America lost in all of World War II. Millions of jobs have been lost. Hundreds of thousands of businesses closed. A cry for racial justice some 400 years in the making moves us. The dream of justice for all will be deferred no longer. A cry for survival comes from the planet itself. A cry that can’t be any more desperate or any more clear. And now, a rise in political extremism, white supremacy, domestic terrorism that we must confront and we will defeat. To overcome these challenges – to restore the soul and to secure the future of America – requires more than words. It requires that most elusive of things in a democracy: Unity. Unity. In another January in Washington, on New Year’s Day 1863, Abraham Lincoln signed the Emancipation Proclamation. When he put pen to paper, the President said, “If my name ever goes down into history it will be for this act and my whole soul	F
87	and the whole group, they worked very hard to make it all happen. So we want to thank them too. Everywhere you go, all over the country, in cities small and large, Americans of all faiths reach out to our Creator for strength, for inspiration, and for healing. Great time for healing. In times of grief and hardship, we turn to prayer for solace and for comfort. In recent days, our entire nation has been filled with terrible pain and sorrow over the evil massacre in a great community — Parkland, Florida. This senseless act of mass murder has shocked our nation and broken our hearts. This week, I had the honor of meeting with students from Marjory Stoneman Douglas High School, with families who have lost their children in prior shootings — great families, great people — and with members of the local community right here in Washington, D.C. Our whole nation was moved by their strength and by their courage. We listened to their heart-wrenching stories, asked them for ideas, and pledged to them — and I can speak for all of the senators and congressmen and congresswomen, all of the people in this room that are involved in this decision — that we will act. We will do something. We will act. With us on Wednesday was one of the families whose daughter didn’t come home last week — a beautiful young woman named Meadow Pollack. Incredible family. I had them in the Oval Office. Incredible people.	UA
88	and thus gives to such positive enactments the authority of law, he participates in the curtailment of his means of seeing that the law is faithfully executed, while the obligation of the law and of his constitutional duty remains unimpaired. The appointment of special deputy marshals is not made by the statute a spontaneous act of authority on the part of any executive or judicial officer of the Government, but is accorded as a popular right of the citizens to call into operation this agency for securing the purity and freedom of elections in any city or town having 20,000 inhabitants or upward. Section 2021 of the Revised Statutes puts it in the power of any two citizens of such city or town to require of the marshal of the district the appointment of these special deputy marshals. Thereupon the duty of the marshal becomes imperative, and its nonperformance would expose him to judicial mandate or punishment or to removal from office by the President, as the circumstances of his conduct might require. The bill now before me neither revokes this popular right of the citizens, nor relieves the marshal of the duty imposed by law, nor the President of his duty to see that this law is faithfully executed. I forbear to enter again upon any general discussion of the wisdom and necessity of the election laws or of the dangerous and unconstitutional principle of this bill--that the power vested in Congress to originate appropriations involves the right to	E
89	and to the honor of our country's name is known to you all. The great features of its policy, in general concurrence with the will of the Legislature, have been to cherish peace while preparing for defensive war; to yield exact justice to other nations and maintain the rights of our own; to cherish the principles of freedom and of equal rights wherever they were proclaimed; to discharge with all possible promptitude the national debt; to reduce within the narrowest limits of efficiency the military force; to improve the organization and discipline of the Army; to provide and sustain a school of military science; to extend equal protection to all the great interests of the nation; to promote the civilization of the Indian tribes, and to proceed in the great system of internal improvements within the limits of the constitutional power of the Union. Under the pledge of these promises, made by that eminent citizen at the time of his first induction to this office, in his career of eight years the internal taxes have been repealed; sixty millions of the public debt have been discharged; provision has been made for the comfort and relief of the aged and indigent among the surviving warriors of the Revolution; the regular armed force has been reduced and its constitution revised and perfected; the accountability for the expenditure of public moneys has been made more effective; the Floridas have been peaceably acquired, and our boundary has been extended to the Pacific Ocean; the	F
90	and which authorizes the raising of ten additional regiments to the Regular Army, to serve during the war and to be disbanded at its termination, which was presented to me on the 11th instant and approved on that day, will constitute an important part of our military force. These regiments will be raised and moved to the seat of war with the least practicable delay. It will be perceived that this act makes no provision for the organization into brigades and divisions of the increased force which it authorizes, nor for the appointment of general officers to command it. It will be proper that authority be given by law to make such organization, and to appoint, by and with the advice and consent of the Senate, such number of major-generals and brigadier-generals as the efficiency of the service may demand. The number of officers of these grades now in service are not more than are required for their respective commands; but further legislative action during your present session will, in my judgment, be required, and to which it is my duty respectfully to invite your attention. Should the war, contrary to my earnest desire, be protracted to the close of the term of service of the volunteers now in Mexico, who engaged for twelve months, an additional volunteer force will probably become necessary to supply their place. Many of the volunteers now serving in Mexico, it is not doubted, will cheerfully engage at the conclusion of their present term to	E
91	and, above all, with Saddam Hussein. This remains the case. You, the people of Iraq, are not our enemy. We do not seek your destruction. We have treated your POW's with kindness. Coalition forces fought this war only as a last resort and look forward to the day when Iraq is led by people prepared to live in peace with their neighbors. We must now begin to look beyond victory and war. We must meet the challenge of securing the peace. In the future, as before, we will consult with our coalition partners. We've already done a good deal of thinking and planning for the postwar period, and Secretary Baker has already begun to consult with our coalition partners on the region's challenges. There can be, and will be, no solely American answer to all these challenges. But we can assist and support the countries of the region and be a catalyst for peace. In this spirit, Secretary Baker will go to the region next week to begin a new round of consultations. This war is now behind us. Ahead of us is the difficult task of securing a potentially historic peace. Tonight though, let us be proud of what we have accomplished. Let us give thanks to those who risked their lives. Let us never forget those who gave their lives. May God bless our valiant military forces and their families, and let us all remember them in our prayers. Good night, and may God bless the United States	UA
92	and, from the facility and certainty of communication between them, it will be useless to incur at those depots the expense of similar machinery, especially that used in preparing the usual metallic and wooden furniture of vessels.Another improvement would be effected by dispensing altogether with the Navy Board as now constituted, and substituting in its stead bureaux similar to those already existing in the War Department. Each member of the Board, transferred to the head of a separate bureau charged with specific duties, would feel in its highest degree that wholesome responsibility which can not be divided without a far more than proportionate diminution of its force. Their valuable services would become still more so when separately appropriated to distinct portions of the great interests of the Navy, to the prosperity of which each would be impelled to devote himself by the strongest motives. Under such an arrangement every branch of this important service would assume a more simple and precise character, its efficiency would be increased, and scrupulous economy in the expenditure of public money promoted.I would also recommend that the Marine Corps be merged in the artillery or infantry, as the best mode of curing the many defects in its organization. But little exceeding in number any of the regiments of infantry, that corps has, besides its lieutenant-colonel commandant, five brevet lieutenant-colonels, who receive the full pay and emoluments of their brevet rank, without rendering proportionate service. Details for marine service could as well be made from the	E
93	any ascertained connection with the usual establishments for the security of commerce, external or internal. It is obvious that such appropriations involve the sanction of a principle that concedes to the General Government an unlimited power over the subject of internal improvements, and that I could not, therefore, approve a bill containing them without receding from the positions taken in my veto of the Maysville road bill, and afterwards in my annual message of December 6, 1830. It is to be regretted that the rules by which the classification of the improvements in this bill has been made by the Engineer Department are not more definite and certain, and that embarrassments may not always be avoided by the observance of them, but as neither my own reflection nor the lights derived from other sources have furnished me with a better guide, I shall continue to apply my best exertions to their application and enforcement. In thus employing my best faculties to exercise the power with which I am invested to avoid evils and to effect the greatest attainable good for our common country I feel that I may trust to your cordial cooperation, and the experience of the past leaves me no room to doubt the liberal indulgence and favorable consideration of those for whom we act. The grounds upon which I have given my assent to appropriations for the construction of lighthouses, beacons, buoys, public piers, and the removal of sand bars, sawyers, and other temporary or partial impediments	E
94	any other existing purpose. The question, therefore, now comes forward, -- to what other objects shall these surpluses be appropriated, and the whole surplus of impost, after the entire discharge of the public debt, and during those intervals when the purposes of war shall not call for them? Shall we suppress the impost and give that advantage to foreign over domestic manufactures? On a few articles of more general and necessary use, the suppression in due season will doubtless be right, but the great mass of the articles on which impost is paid is foreign luxuries, purchased by those only who are rich enough to afford themselves the use of them. Their patriotism would certainly prefer its continuance and application to the great purposes of the public education, roads, rivers, canals, and such other objects of public improvement as it may be thought proper to add to the constitutional enumeration of federal powers. By these operations new channels of communication will be opened between the States; the lines of separation will disappear, their interests will be identified, and their union cemented by new and indissoluble ties. Education is here placed among the articles of public care, not that it would be proposed to take its ordinary branches out of the hands of private enterprise, which manages so much better all the concerns to which it is equal; but a public institution can alone supply those sciences which, though rarely called for, are yet necessary to complete the circle, all the	F
95	applied. The fabrication of arms at the national armories and by contract with the Department has been gradually improving in quality and cheapness. It is believed that their quality is now such as to admit of but little improvement. The completion of the fortifications renders it necessary that there should be a suitable appropriation for the purpose of fabricating the cannon and carriages necessary for those works. Under the appropriation of $5,000 for exploring the Western waters for the location of a site for a Western armory, a commission was constituted, consisting of Colonel McRee, Colonel Lee, and Captain Talcott, who have been engaged in exploring the country. They have not yet reported the result of their labors, but it is believed that they will be prepared to do it at an early part of the session of Congress. During the month of June last General Ashley and his party, who were trading under a license from the Government, were attacked by the Ricarees while peaceably trading with the Indians at their request. Several of the party were killed and wounded and their property taken or destroyed. Colonel Leavenworth, who commanded Fort Atkinson, at the Council Bluffs, the most western post, apprehending that the hostile spirit of the Ricarees would extend to other tribes in that quarter, and that thereby the lives of the traders on the Missouri and the peace of the frontier would be endangered, took immediate measures to check the evil. With a detachment of the regiment	HC
96	are strengthened. Nations that are conscious of a steady improvement in their industry, education, health and standard of living are not apt to fall prey to the blandishments of communist imperialists.Second, these countries are helped to reach the point where mutually profitable trade can expand between them and us.Third, the mutual confidence that comes from working together on constructive projects creates an atmosphere in which real understanding and peace can flourish.To help bring these multiple benefits, our economic aid effort should be made more effective.In proposals for future economic aid, I am stressing a greater use of repayable loans, through the Development Loan Fund, through funds generated by sale of surplus farm products, and through the Export-Import Bank.While some increase in Government funds will be required, it remains our objective to encourage shifting to the use of private capital sources as rapidly as possible.One great obstacle to the economic aid program in the past has been, not a rational argument against it on the merits, but a catchword: "give-away program."The real fact is that no investment we make in our own security and peace can pay us greater dividends than necessary amounts of economic aid to friendly nations.This is no "give-away."Let's stick to facts !We cannot afford to have one of our most essential security programs shot down with a slogan !4. MUTUAL TRADEFourth: Both in our national interest, and in the interest of world peace, we must have a five-year extension of the Trade Agreements Act with broadened authority	E
97	are to be found in the seventh article of the treaty of Ghent. The commissioners appointed under that article by the two Governments having differed in their opinions, made separate reports, according to its stipulations, upon the points of disagreement, and these differences are now to be submitted to the arbitration of some friendly sovereign or state. The disputed points should be settled and the line designated before the Territorial government of which it is one of the boundaries takes its place in the Union as a State, and I rely upon the cordial cooperation of the British Government to effect that object. There is every reason to believe that disturbances like those which lately agitated the neighboring British Provinces will not again prove the sources of border contentions or interpose obstacles to the continuance of that good understanding which it is the mutual interest of Great Britain and the United States to preserve and maintain. Within the Provinces themselves tranquillity is restored, and on our frontier that misguided sympathy in favor of what was presumed to be a general effort in behalf of popular rights, and which in some instances misled a few of our more inexperienced citizens, has subsided into a rational conviction strongly opposed to all intermeddling with the internal affairs of our neighbors. The people of the United States feel, as it is hoped they always will, a warm solicitude for the success of all who are sincerely endeavoring to improve the political condition of mankind.	E
98	away from the paths of contentment and prosperity. Whenwe proclaim that the necessity for revenue to support the Government furnishesthe only justification for taxing the people, we announce a truth so plainthat its denial would seem to indicate the extent to which judgment maybe influenced by familiarity with perversions of the taxing power. Andwhen we seek to reinstate the self-confidence and business enterprise ofour citizens by discrediting an abject dependence upon governmental favor,we strive to stimulate those elements of American character which supportthe hope of American achievement. Anxiety for the redemption of the pledges which my party has made andsolicitude for the complete justification of the trust the people havereposed in us constrain me to remind those with whom I am to cooperatethat we can succeed in doing the work which has been especially set beforeus only by the most sincere, harmonious, and disinterested effort. Evenif insuperable obstacles and opposition prevent the consummation of ourtask, we shall hardly be excused; and if failure can be traced to our faultor neglect we may be sure the people will hold us to a swift and exactingaccountability. The oath I now take to preserve, protect, and defend the Constitutionof the United States not only impressively defines the great responsibilityI assume, but suggests obedience to constitutional commands as the ruleby which my official conduct must be guided. I shall to the best of myability and within my sphere of duty preserve the Constitution by loyallyprotecting every grant of Federal power it contains, by defending	C
99	be a united, independent, and autonomous Poland, and that henceforth inviolable security of life, of worship, and of industrial and social development should be guaranteed to all peoples who have lived hitherto under the power of governments devoted to a faith and purpose hostile to their own. I speak of this, not because of any desire to exalt an abstract political principle which has always been held very dear by those who have sought to build up liberty in America, but for the same reason that I have spoken of the other conditions of peace which seem to me clearly indispensable,?because I wish frankly to uncover realities. Any peace which does not recognize and accept this principle will inevitably be upset. It will not rest upon the affections or the convictions of mankind. The ferment of spirit of whole populations will fight subtly and constantly against it, and all the world will sympathize. The world can be at peace only if its life is stable, and there can be no stability where the will is in rebellion, where there is not tranquillity of spirit and a sense of justice, of freedom, and of right. So far as practicable, moreover, every great people now struggling towards a full development of its resources and of its powers should be assured a direct outlet to the great highways of the sea. Where this cannot be done by the cession of territory, it can no doubt be done by the neutralization of direct rights	C
100	be about 80 warriors, or males capable of bearing arms. The further pursuit of these miserable beings by a large military force seems to be as injudicious as it is unavailing. The history of the last year&#39;s campaign in Florida has satisfactorily shown that notwithstanding the vigorous and incessant operations of our troops (which can not be exceeded), the Indian mode of warfare, their dispersed condition, and the very smallness of their number (which increases the difficulty of finding them in the abundant and almost inaccessible hiding places of the Territory) render any further attempt to secure them by force impracticable except by the employment of the most expensive means. The exhibition of force and the constant efforts to capture or destroy them of course places them beyond the reach of overtures to surrender. It is believed by the distinguished officer in command there that a different system should now be pursued to attain the entire removal of all the Indians in Florida, and he recommends that hostilities should cease unless the renewal of them be rendered necessary by new aggressions; that communications should be opened by means of the Indians with him to insure them a peaceful and voluntary surrender, and that the military operations should hereafter be directed to the protection of the inhabitants. These views are strengthened and corroborated by the governor of the Territory, by many of its most intelligent citizens, and by numerous officers of the Army who have served and are still serving in	DO
101	be convicted without the concurrence of two-thirds of the members present," and that "judgment shall not extend further than to removal from office and disqualification to hold and enjoy any office of honor, trust, or profit under the United States." The resolution above quoted charges, in substance, that in certain proceedings relating to the public revenue the President has usurped authority and power not conferred upon him by the Constitution and laws, and that in doing so he violated both. Any such act constitutes a high crime--one of the highest, indeed, which the President can commit--a crime which justly exposes him to impeachment by the House of Representatives, and, upon due conviction, to removal from office and to the complete and immutable disfranchisement prescribed by the Constitution. The resolution, then, was in substance an impeachment of the President, and in its passage amounts to a declaration by a majority of the Senate that he is guilty of an impeachable offense. As such it is spread upon the journals of the Senate, published to the nation and to the world, made part of our enduring archives, and incorporated in the history of the age. The punishment of removal from office and future disqualification does not, it is true, follow this decision, nor would it have followed the like decision if the regular forms of proceeding had been pursued, because the requisite number did not concur in the result. But the moral influence of a solemn declaration by a majority of the	E
102	be easily provided for, should be left to hazard. It is thought that the revenue may receive an augmentation from the existing sources, and in a manner to aid our manufactures, without hastening prematurely the result which has been suggested. It is believed that a moderate additional duty on certain articles would have that effect, without being liable to any serious objection. The examination of the whole coast, for the construction of permanent fortifications, from St. Croix to the Sabine, with the exception of part of the territory lately acquired, will be completed in the present year, as will be the survey of the Mississippi, under the resolution of the House of Representatives, from the mouth of the Ohio to the ocean, and likewise of the Ohio from Louisville to the Mississippi. A progress corresponding with the sums appropriated has also been made in the construction of these fortifications at the ports designated. As they will form a system of defense for the whole maritime frontier, and in consequence for the interior, and are to last for ages, the greatest care has been taken to fix the position of each work and to form it on such a scale as will be adequate to the purpose intended by it. All the inlets and assailable parts of our Union have been minutely examined, and positions taken with a view to the best effect, observing in every instance a just regard for economy. Doubts, however, being entertained as to the propriety of	E
103	be imposed on the 17 million people of South Vietnam has increased, and the Communist offensive has now reached the point that it gravely threatens the lives of 60,000 American troops who are still in Vietnam. There are only two issues left for us in this war. First, in the face of a massive invasion do we stand by, jeopardize the lives of 60,000 Americans, and leave the South Vietnamese to a long night of terror? This will not happen. We shall do whatever is required to safeguard American lives and American honor. Second, in the face of complete intransigence at the conference table do we join with our enemy to install a Communist government in South Vietnam? This, too, will not happen. We will not cross the line from generosity to treachery. We now have a clear, hard choice among three courses of action: Immediate withdrawal of all American forces, continued attempts at negotiation, or decisive military action to end the war. I know that many Americans favor the first course of action, immediate withdrawal. They believe the way to end the war is for the United States to get out, and to remove the threat to our remaining forces by simply withdrawing them. From a political standpoint, this would be a very easy choice for me to accept. After all, I did not send over one-half million Americans to Vietnam. I have brought 500,000 men home from Vietnam since I took office. But, abandoning our commitment in Vietnam	UA
104	be out of reach of enemy bombing, while at that time Britain was exposed to constant air attack and was still threatened with the possibility of invasion. For these reasons Prime Minister Churchill and President Roosevelt agreed that it was wise to carry on the project here. We now have two great plants and many lesser works devoted to the production of atomic power. Employment during peak construction numbered 125,000 and over 65,000 individuals are even now engaged in operating the plants. Many have worked there for two and a half years. Few know what they have been producing. They see great quantities of material going in and they see nothing coming out of these plants, for the physical size of the explosive charge is exceedingly small. We have spent two billion dollars on the greatest scientific gamble in history-and won. But the greatest marvel is not the size of the enterprise, its secrecy, nor its cost, but the achievement of scientific brains in putting together infinitely complex pieces of knowledge held by many men in different fields of science into a workable plan. And hardly less marvelous has been the capacity of industry to design, and of labor to operate, the machines and methods to do things never done before so that the brain child of many minds came forth in physical shape and performed as it was supposed to do. Both science and industry worked under the direction of the United States Army, which achieved a unique success	APR
105	been discharged from the French army because they had become American citizens. To employ the language of our present minister to France, who has rendered good service on this occasion. "I do not think our French naturalized fellow-citizens will hereafter experience much annoyance on this subject."I venture to predict that the time is not far distant when the other continental powers will adopt the same wise and just policy which has done so much honor to the enlightened Government of the Emperor. In any event, our Government is bound to protect the rights of our naturalized citizens everywhere to the same extent as though they had drawn their first breath in this country. We can recognize no distinction between our native and naturalized citizens.Between the great Empire of Russia and the United States the mutual friendship and regard which has so long existed still continues to prevail, and if possible to increase. Indeed, our relations with that Empire are all that we could desire. Our relations with Spain are now of a more complicated, though less dangerous, character than they have been for many years. Our citizens have long held and continue to hold numerous claims against the Spanish Government. These had been ably urged for a series of years by our successive diplomatic representatives at Madrid, but without obtaining redress. The Spanish Government finally agreed to institute a joint commission for the adjustment of these claims, and on the 5th day of March, 1860, concluded a convention for this	HC
106	been residents of said State for one year." This is the general qualification, followed, however, by many exceptions. No one can be registered, according to the original act, "who may be disfranchised for participation in the rebellion"--a provision which left undetermined the question as to what amounted to disfranchisement, and whether without a judicial sentence the act itself produced that effect. This supplemental bill superadds an oath, to be taken by every person before his name can be admitted upon the registration, that he has "not been disfranchised for participation in any rebellion or civil war against the United States." It thus imposes upon every person the necessity and responsibility of deciding for himself, under the peril of punishment by a military commission if he makes a mistake, what works disfranchisement by participation in rebellion and what amounts to such participation. Almost every man--the Negro as well as the white--above 21 years of age who was resident in these ten States during the rebellion, voluntarily or involuntarily, at some time and in some way did participate in resistance to the lawful authority of the General Government. The question with the citizen to whom this oath is to be proposed must be a fearful one, for while the bill does not declare that perjury may be assigned for such false swearing nor fix any penalty for the offense, we must not forget that martial law prevails; that every person is answerable to a military commission, without previous presentment by a grand	E
107	begin now to consider what farm legislation we should develop for 1955 and beyond. Our aim should be economic stability and full parity of income for American farmers. But we must seek this goal in ways that minimize governmental interference in the farmers' affairs, that permit desirable shifts in production, and that encourage farmers themselves to use initiative in meeting changing economic conditions.A continuing study reveals nothing more emphatically than the complicated nature of this subject. Among other things, it shows that the prosperity of our agriculture depends directly upon the prosperity of the whole country--upon the purchasing power of American consumers. It depends also upon the opportunity to ship abroad large surpluses of particular commodities, and therefore upon sound economic relationships between the United States and many foreign countries. It involves research and scientific investigation, conducted on an extensive scale. It involves special credit mechanisms and marketing, rural electrification, soil conservation, and other programs.The whole complex of agricultural programs and policies will be studied by a Special Agricultural Advisory Commission, as I know it will by appropriate committees of the Congress. A nonpartisan group of respected authorities in the field of agriculture has already been appointed as an interim advisory group.The immediate changes needed in agricultural programs are largely budgetary and administrative in nature. New policies and new programs must await the completion of the far-reaching studies which have already been launched.IX.The determination of labor policy must be governed not by the vagaries of political expediency but by the	E
108	bravely, and thousands have given their lives in this struggle. Together, these Americans and Iraqi forces have driven the terrorists from many of the sanctuaries they once held. Now the terrorists have gathered in and around the northern Iraqi city of Mosul, and Iraqi and American forces are relentlessly pursuing them. There will be tough fighting in Mosul and areas of northern Iraq in the weeks ahead. But there's no doubt in my mind, because of the courage of our troops and the bravery of the Iraqis, the Al Qaida terrorists in this region will suffer the same fate as Al Qaida suffered elsewhere in Iraq. As we have fought Al Qaida, coalition and Iraqi forces have also taken the fight to Shi'a extremist groups, many of them backed and financed and armed by Iran. A year ago, these groups were on the rise. Today, they are increasingly isolated, and Iraqis of all faiths are putting their lives on the line to stop these extremists from hijacking their young democracy. To ensure that military progress in Iraq is quickly followed up with real improvements in daily life, we have doubled the number of Provincial Reconstruction Teams in Iraq. These teams of civilian experts are serving all Iraqi—18 Iraqi Provinces, and they're helping to strengthen responsible leaders and build up local economies and bring Iraqis together, so that reconciliation can happen from the ground up. They're very effective. They're helping give ordinary Iraqis confidence that by rejecting the extremists and reconciling	APR
109	by God. Finally, we must think big and dream even bigger. In America, we understand that a nation is only living as long as it is striving. We will no longer accept politicians who are all talk and no action – constantly complaining but never doing anything about it. The time for empty talk is over. Now arrives the hour of action. Do not let anyone tell you it cannot be done. No challenge can match the heart and fight and spirit of America. We will not fail. Our country will thrive and prosper again. We stand at the birth of a new millennium, ready to unlock the mysteries of space, to free the Earth from the miseries of disease, and to harness the energies, industries and technologies of tomorrow. A new national pride will stir our souls, lift our sights, and heal our divisions. It is time to remember that old wisdom our soldiers will never forget: that whether we are black or brown or white, we all bleed the same red blood of patriots, we all enjoy the same glorious freedoms, and we all salute the same great American Flag. And whether a child is born in the urban sprawl of Detroit or the windswept plains of Nebraska, they look up at the same night sky, they fill their heart with the same dreams, and they are infused with the breath of life by the same almighty Creator. So to all Americans, in every city near and far,	UA
110	by far the best passage for vessels of any depth of water from Lake Erie into the Detroit River is between Bois Blanc, a British island, and the Canadian shore. So again, there are several channels or passages, of different degrees of facility and usefulness, between the several islands in the river St. Clair at or near its entry into the lake of that name. In these three cases the treaty provides that all the several passages and channels shall be free and open to the use of the citizens and subjects of both parties. The treaty obligations subsisting between the two countries for the suppression of the African slave trade and the complaints made to this Government within the last three or four years, many of them but too well founded, of the visitation, seizure, and detention of American vessels on that coast by British cruisers could not but form a delicate and highly important part of the negotiations which have now been held. The early and prominent part which the Government of the United States has taken for the abolition of this unlawful and inhuman traffic is well known. By the tenth article of the treaty of Ghent it is declared that the traffic in slaves is irreconcilable with the principles of humanity and justice, and that both His Majesty and the United States are desirous of continuing their efforts to promote its entire abolition; and it is thereby agreed that both the contracting parties shall use their	E
111	by the desire to strengthen the bonds of friendship between the two countries, and to facilitate their commercial intercourse by improving the conditions of trade between them, have resolved to enter into a convention for that purpose, and have appointed their respective Plenipotentiaries, to wit: The President of the United States of America, the Honorable General Tasker H. Bliss; The President of the Republic of Cuba, the Honorable Carlos de Zaldo y Beurmann, Secretary of State and Justice, and the Honorable Jose&#39; M. Garcia y Montes, Secretary of the Treasury; who, after an exchange of their full powers found to be in good and due form, have, in consideration of and in compensation for the respective concessions and engagements made by each to the other as hereinafter recited, agreed and do hereby agree upon the following Articles for the regulation and government of their reciprocal trade, namely: ARTICLE I. During the term of this convention, all articles of merchandise being the product of the soil or industry of the United States which are now imported into the Republic of Cuba free of duty and all articles of merchandise being the product of the soil or industry of the Republic of Cuba which are now imported into the United States free of duty, shall continue to be so admitted by the respective countries free of duty. ARTICLE II. During the term of this convention, all articles of merchandise not included in the foregoing Article I and being the product of the	E
112	by the way, we’re doing so well. We have a record this month on the borders. Nobody’s coming in. Very few people. And they want to abolish ICE, our great people from ICE who send the roughest toughest, meanest people that you’ve ever seen or ever heard. Generally speaking, when they have lots of tattoos on their face, they’re not looking to do you much help. ICE, they’re rough guys. they’re great Americans, but they’ll walk into, they caught them in a pack. They’ll walk into a pack of tough MS-13 gang members. And we shouldn’t say this, it’s not nice. They want us to negotiate. They start swinging. And the other such way, everybody’s swinging, at the end, they carry them back and they throw them into the paddy wagon. They’re great. And these people want to get rid of ICE. They get rid of murderers. They get rid of rapists. They get rid of the worst scum on earth. And when I called them animals, I said, “They’re animals.” And Nancy Pelosi, they cut up a young woman. They cut up a young woman and her friend, cut them up with a knife because it was more painful. Dead. Cut them up with a knife because it’s more painful. It takes longer than shooting a gun. They cut them up. I said, “These are animals.” And Nancy Pelosi said, “These are human beings. They’re not animals.” If I lose an election over that, you know what? This country	F
113	called by the direct suffrages of the people to the discharge of the important functions of their chief executive office. Upon the expiration of a single month from the day of his installation he has paid the great debt of nature, leaving behind him a name associated with the recollection of numerous benefits conferred upon the country during a long life of patriotic devotion. With this public bereavement are connected other considerations which will not escape the attention of Congress. The preparations necessary for his removal to the seat of Government in view of a residence of four years must have devolved upon the late President heavy expenditures, which, if permitted to burthen the limited resources of his private fortune, may tend seriously to the embarrassment of his surviving family; and it is therefore respectfully submitted to Congress whether the ordinary principles of justice would not dictate the propriety of its legislative interposition. By the provisions of the fundamental law the powers and duties of the high station to which he was elected have devolved upon me, and in the dispositions of the representatives of the States and of the people will be found, to a great extent, a solution of the problem to which our institutions are for the first time subjected. In entering upon the duties of this office I did not feel that it would be becoming in me to disturb what had been ordered by my lamented predecessor. Whatever, therefore, may have been my opinion originally	E
114	charter government , as it is denominated by the resolution of the House of the 23d March. I must be permitted to disclaim entirely and unqualifiedly the right on the part of the Executive to make any real or supposed defects existing in any State constitution or form of government the pretext for a failure to enforce the laws or the guaranties of the Constitution of the United States in reference to any such State. I utterly repudiate the idea, in terms as emphatic as I can employ, that those laws are not to be enforced or those guaranties complied with because the President may believe that the right of suffrage or any other great popular right is either too restricted or too broadly enlarged. I also with equal strength resist the idea that it fails within the Executive competency to decide in controversies of the nature of that which existed in Rhode Island on which side is the majority of the people or as to the extent of the rights of a mere numerical majority. For the Executive to assume such a power would be to assume a power of the most dangerous character. Under such assumptions the States of this Union would have no security for peace or tranquillity, but might be converted into the mere instruments of Executive will. Actuated by selfish purposes, he might become the great agitator, fomenting assaults upon the State constitutions and declaring the majority of to-day to be the minority of to-morrow,	C
115	chips. But in the last few decades, we lost our edge and we’re down to producing only 10%. We all saw what happened during the pandemic when chip factories overseas shut down. Today’s automobiles need up to 3,000 chips each, but American automakers couldn’t make enough cars because there weren’t enough chips. Car prices went up. So did everything from refrigerators to cellphones. We can never let that happen again. That’s why we came together to pass the bipartisan CHIPS and Science Act. We’re making sure the supply chain for America begins in America. We’ve already created 800,000 manufacturing jobs even without this law. With this new law, we will create hundreds of thousands of new jobs across the country. That’s going to come from companies that have announced more than $300 billion in investments in American manufacturing in the last two years. Outside of Columbus, Ohio, Intel is building semiconductor factories on a thousand acres – a literal field of dreams. That’ll create 10,000 jobs. 7,000 construction jobs. 3,000 jobs once the factories are finished. Jobs paying $130,000 a year, and many don’t require a college degree. Jobs where people don’t have to leave home in search of opportunity. And it’s just getting started. Think about the new homes, new small businesses, and so much more that will come to life. Talk to mayors and Governors, Democrats and Republicans, and they’ll tell you what this means to their communities. We’re seeing these fields of dreams transform the heartland. But	E
116	circumstances of trade and manufacture and finance; but all the while opinion has made head against them. The average business man is convinced that the ways of liberty are also the ways of peace and the ways of success as well; and at last the masters of business on the great scale have begun to yield their preference and purpose, perhaps their judgment also, in honorable surrender. What we are purposing to do, therefore, is, happily, not to hamper or interfere with business as enlightened business men prefer to do it, or in any sense to put it under the ban. The antagonism between business and government is over. We are now about to give expression to the best business judgment of America, to what we know to be the business conscience and honor of the land. The Government and business men are ready to meet each other half-way in a common effort to square business methods with both public opinion and the law. The best informed men of the business world condemn the methods and processes and consequences of monopoly as we condemn them; and the instinctive judgment of the vast majority of business men everywhere goes with them. We shall now be their spokesmen. That is the strength of our position and the sure prophecy of what will ensue when our reasonable work is done. When serious contest ends, when men unite in opinion and purpose, those who are to change their ways of business joining with those	UA
